sample,hrs_after_DLMO25
GSM968833,16.46666667
GSM968834,19.55
GSM968835,22.46666667
GSM968836,1.466666667
GSM968837,4.466666667
GSM968838,7.466666667
GSM968839,10.46666667
GSM968840,13.46666667
GSM968841,16.46666667
GSM968842,19.46666667
GSM968843,15.98333333
GSM968844,18.91666667
GSM968845,21.91666667
GSM968846,0.916666667
GSM968847,3.916666667
GSM968848,9.916666667
GSM968849,12.91666667
GSM968850,15.91666667
GSM968851,18.91666667
GSM968852,16.26666667
GSM968853,19.26666667
GSM968854,22.26666667
GSM968855,1.266666667
GSM968856,4.266666667
GSM968857,7.266666667
GSM968858,13.3
GSM968859,16.26666667
GSM968860,19.35
GSM968861,13.78333333
GSM968862,16.78333333
GSM968863,19.78333333
GSM968864,22.78333333
GSM968865,1.783333333
GSM968866,4.783333333
GSM968867,7.8
GSM968868,10.78333333
GSM968869,13.78333333
GSM968870,16.78333333
GSM968871,16.6
GSM968872,4.6
GSM968873,10.65
GSM968874,13.6
GSM968875,16.65
GSM968876,19.6
GSM968877,18.58333333
GSM968878,21.43333333
GSM968879,0.433333333
GSM968880,9.433333333
GSM968881,15.43333333
GSM968882,18.43333333
GSM968883,17.3
GSM968884,23.3
GSM968885,2.3
GSM968886,5.3
GSM968887,8.3
GSM968888,11.3
GSM968889,14.3
GSM968890,17.3
GSM968891,20.3
GSM968892,15.36666667
GSM968893,21.36666667
GSM968894,0.366666667
GSM968895,3.366666667
GSM968896,6.366666667
GSM968897,9.366666667
GSM968898,12.36666667
GSM968899,15.36666667
GSM968900,18.36666667
GSM968910,16.8
GSM968911,19.8
GSM968912,22.8
GSM968913,1.8
GSM968914,4.8
GSM968915,7.8
GSM968916,10.8
GSM968917,13.8
GSM968918,16.8
GSM968919,19.8
GSM968920,14.33333333
GSM968921,17.35
GSM968922,20.33333333
GSM968923,23.33333333
GSM968924,2.333333333
GSM968925,5.333333333
GSM968926,8.333333333
GSM968927,17.33333333
GSM968937,16.73333333
GSM968938,19.71666667
GSM968939,22.71666667
GSM968940,1.733333333
GSM968941,4.716666667
GSM968942,7.716666667
GSM968943,10.8
GSM968944,13.71666667
GSM968945,16.71666667
GSM968946,19.71666667
GSM968947,14.93333333
GSM968948,17.93333333
GSM968949,20.93333333
GSM968950,23.93333333
GSM968951,2.933333333
GSM968952,5.933333333
GSM968953,8.933333333
GSM968954,11.93333333
GSM968955,14.93333333
GSM968956,17.93333333
GSM968957,16.38333333
GSM968958,19.38333333
GSM968959,22.38333333
GSM968960,1.383333333
GSM968961,4.383333333
GSM968962,7.383333333
GSM968963,10.38333333
GSM968964,13.38333333
GSM968965,14.33333333
GSM968966,17.33333333
GSM968967,20.33333333
GSM968968,23.33333333
GSM968969,2.333333333
GSM968970,5.333333333
GSM968971,8.333333333
GSM968972,11.33333333
GSM968973,15.83333333
GSM968974,18.83333333
GSM968975,0.833333333
GSM968976,3.833333333
GSM968977,6.833333333
GSM968978,12.83333333
GSM968979,15.83333333
GSM968980,14.3
GSM968981,2.3
GSM968982,5.3
GSM968983,8.3
GSM968984,14.33333333
GSM968985,17.35
GSM968986,16.51666667
GSM968987,19.51666667
GSM968988,22.51666667
GSM968989,1.516666667
GSM968990,4.516666667
GSM968991,7.516666667
GSM968992,10.51666667
GSM968993,13.51666667
GSM968994,16.51666667
GSM968995,19.51666667
GSM968996,13.65
GSM968997,16.71666667
GSM968998,19.65
GSM968999,22.65
GSM969000,1.65
GSM969001,4.7
GSM969002,7.65
GSM969003,10.65
GSM969004,13.65
GSM969005,16.65
GSM969006,16.33333333
GSM969007,22.33333333
GSM969008,1.333333333
GSM969009,4.333333333
GSM969010,7.333333333
GSM969011,10.33333333
GSM969012,13.36666667
GSM969013,16.33333333
GSM969014,19.33333333
GSM969015,14.71666667
GSM969016,20.71666667
GSM969017,5.716666667
GSM969018,8.716666667
GSM969019,11.71666667
GSM969020,17.51666667
GSM969021,20.5
GSM969022,23.5
GSM969023,2.5
GSM969024,5.5
